procs, 1, 	units, 450, 	weights, 405000, 	cycles, 40000, 	con_trav, 1.62e+10, 	secs, 0.28, 	mpisecs, 0.278863, 	Mcon/sec, 57857.1
procs, 1, 	units, 455, 	weights, 414050, 	cycles, 40000, 	con_trav, 1.6562e+10, 	secs, 0.29, 	mpisecs, 0.287324, 	Mcon/sec, 57110.3
procs, 1, 	units, 460, 	weights, 423200, 	cycles, 40000, 	con_trav, 1.6928e+10, 	secs, 0.29, 	mpisecs, 0.289768, 	Mcon/sec, 58372.4
procs, 1, 	units, 465, 	weights, 432450, 	cycles, 40000, 	con_trav, 1.7298e+10, 	secs, 0.3, 	mpisecs, 0.300133, 	Mcon/sec, 57660
procs, 1, 	units, 470, 	weights, 441800, 	cycles, 40000, 	con_trav, 1.7672e+10, 	secs, 0.29, 	mpisecs, 0.291108, 	Mcon/sec, 60937.9
procs, 1, 	units, 475, 	weights, 451250, 	cycles, 40000, 	con_trav, 1.805e+10, 	secs, 0.29, 	mpisecs, 0.297684, 	Mcon/sec, 62241.4
procs, 1, 	units, 480, 	weights, 460800, 	cycles, 40000, 	con_trav, 1.8432e+10, 	secs, 0.31, 	mpisecs, 0.305294, 	Mcon/sec, 59458.1
procs, 1, 	units, 485, 	weights, 470450, 	cycles, 40000, 	con_trav, 1.8818e+10, 	secs, 0.31, 	mpisecs, 0.312835, 	Mcon/sec, 60703.2
procs, 1, 	units, 490, 	weights, 480200, 	cycles, 40000, 	con_trav, 1.9208e+10, 	secs, 0.3, 	mpisecs, 0.301957, 	Mcon/sec, 64026.7
procs, 1, 	units, 495, 	weights, 490050, 	cycles, 40000, 	con_trav, 1.9602e+10, 	secs, 0.31, 	mpisecs, 0.306833, 	Mcon/sec, 63232.3
procs, 1, 	units, 500, 	weights, 500000, 	cycles, 40000, 	con_trav, 2e+10, 	secs, 0.32, 	mpisecs, 0.313177, 	Mcon/sec, 62500
